iter	RMSE
0	9.586745929
1	9.325545803
2	9.057344381
3	8.806913893
4	8.53846211
5	8.306497813
6	8.100370012
7	7.876620548
8	7.699753788
9	7.480601923
10	7.28431643
11	7.09865802
12	6.923232041
13	6.814050267
14	6.641850625
15	6.485307821
16	6.321017827
17	6.193256781
18	6.055015439
19	5.938719376
20	5.826546128
21	5.707764269
22	5.635034752
23	5.515959865
24	5.406312874
25	5.316106036
26	5.26708364
27	5.157557566
28	5.05608148
29	4.958201545
30	4.900978571
31	4.833845836
32	4.765023273
33	4.685741346
34	4.626316417
35	4.576375606
36	4.520918534
37	4.473476264
38	4.4102614
39	4.360036489
